PERMNO,date,TICKER,PRC,VOL
84398,17/07/2019,SPY,297.73999,44102443
84398,18/07/2019,SPY,298.82999,51701687
84398,19/07/2019,SPY,297.17001,71081238
84398,22/07/2019,SPY,297.89999,43687404
84398,23/07/2019,SPY,300.03000,44657973
84398,24/07/2019,SPY,301.44000,47213232
84398,25/07/2019,SPY,300.00000,55394092
84398,26/07/2019,SPY,302.01001,45084077
84398,29/07/2019,SPY,301.45999,38126462
84398,30/07/2019,SPY,300.72000,45849045
84398,31/07/2019,SPY,297.42999,104245162
84398,01/08/2019,SPY,294.84000,142646576
84398,02/08/2019,SPY,292.62000,116749695
84398,05/08/2019,SPY,283.82001,178745449
84398,06/08/2019,SPY,287.79999,120711682
84398,07/08/2019,SPY,287.97000,140572265
84398,08/08/2019,SPY,293.62000,87713904
84398,09/08/2019,SPY,291.62000,93729958
84398,12/08/2019,SPY,288.07001,65527632
84398,13/08/2019,SPY,292.54999,94792972
84398,14/08/2019,SPY,283.89999,135622053
84398,15/08/2019,SPY,284.64999,101929845
84398,16/08/2019,SPY,288.85001,85825286
84398,19/08/2019,SPY,292.32999,53640153
84398,20/08/2019,SPY,290.09000,51652752
84398,21/08/2019,SPY,292.45001,49723430
84398,22/08/2019,SPY,292.35999,51739292
84398,23/08/2019,SPY,284.85001,149318151
84398,26/08/2019,SPY,288.00000,72620598
84398,27/08/2019,SPY,286.87000,68262998
84398,28/08/2019,SPY,288.89001,59852324
84398,29/08/2019,SPY,292.57999,57998913
84398,30/08/2019,SPY,292.45001,62961780
84398,03/09/2019,SPY,290.73999,69231875
84398,04/09/2019,SPY,294.04001,47003957
84398,05/09/2019,SPY,297.82001,83356779
84398,06/09/2019,SPY,298.04999,49584290
84398,09/09/2019,SPY,298.20001,51260290
84398,10/09/2019,SPY,298.13000,57947101
84398,11/09/2019,SPY,300.25000,68821066
84398,12/09/2019,SPY,301.29001,72908745
84398,13/09/2019,SPY,301.09000,62104838
84398,16/09/2019,SPY,300.16000,58191175
84398,17/09/2019,SPY,300.92001,42904427
84398,18/09/2019,SPY,301.10001,74192091
84398,19/09/2019,SPY,301.07999,78099215
84398,20/09/2019,SPY,298.28000,97455979
84398,23/09/2019,SPY,298.20999,47541321
84398,24/09/2019,SPY,295.87000,97367568
84398,25/09/2019,SPY,297.62000,73434081
84398,26/09/2019,SPY,297.00000,58722357
84398,27/09/2019,SPY,295.39999,84781110
84398,30/09/2019,SPY,296.76999,52562761
84398,01/10/2019,SPY,293.23999,89900420
84398,02/10/2019,SPY,288.06000,124523974
84398,03/10/2019,SPY,290.42001,85906799
84398,04/10/2019,SPY,294.35001,66700681
84398,07/10/2019,SPY,293.07999,60656561
84398,08/10/2019,SPY,288.53000,101575470
84398,09/10/2019,SPY,291.26999,65707329
84398,10/10/2019,SPY,293.23999,57255974
84398,11/10/2019,SPY,296.28000,101228577
84398,14/10/2019,SPY,295.95001,40546668
84398,15/10/2019,SPY,298.88000,47832356
84398,16/10/2019,SPY,298.39999,50563596
84398,17/10/2019,SPY,299.28000,46784885
84398,18/10/2019,SPY,297.97000,64338028
84398,21/10/2019,SPY,299.98999,39460901
84398,22/10/2019,SPY,299.01001,49126038
84398,23/10/2019,SPY,299.88000,34991829
84398,24/10/2019,SPY,300.37000,35857459
84398,25/10/2019,SPY,301.60001,45205412
84398,28/10/2019,SPY,303.29999,42146965
84398,29/10/2019,SPY,303.20999,44284921
84398,30/10/2019,SPY,304.14001,49643928
84398,31/10/2019,SPY,303.32999,69053791
84398,01/11/2019,SPY,306.14001,71141515
84398,04/11/2019,SPY,307.37000,60606916
84398,05/11/2019,SPY,307.03000,42933219
84398,06/11/2019,SPY,307.10001,46487108
84398,07/11/2019,SPY,308.17999,54272274
84398,08/11/2019,SPY,308.94000,49068797
84398,11/11/2019,SPY,308.35001,35934909
84398,12/11/2019,SPY,309.00000,46484624
84398,13/11/2019,SPY,309.10001,54459018
84398,14/11/2019,SPY,309.54999,52001874
84398,15/11/2019,SPY,311.79001,62706192
84398,18/11/2019,SPY,312.01999,49327980
84398,19/11/2019,SPY,311.92999,67927818
84398,20/11/2019,SPY,310.76999,79696276
84398,21/11/2019,SPY,310.26999,54664690
84398,22/11/2019,SPY,310.95999,44850228
84398,25/11/2019,SPY,313.37000,48762676
84398,26/11/2019,SPY,314.07999,37727953
84398,27/11/2019,SPY,315.48001,44793179
84398,29/11/2019,SPY,314.31000,36592740
84398,02/12/2019,SPY,311.64001,76110027
84398,03/12/2019,SPY,309.54999,75172709
84398,04/12/2019,SPY,311.45999,49190402
84398,05/12/2019,SPY,312.01999,40781669
84398,06/12/2019,SPY,314.87000,48956767
84398,09/12/2019,SPY,313.88000,34904315
84398,10/12/2019,SPY,313.53000,53107133
84398,11/12/2019,SPY,314.42001,53521450
84398,12/12/2019,SPY,317.13000,96585802
84398,13/12/2019,SPY,317.32001,81546487
